array_size=262144 	STRIDE=4 	avgMISSES=0.000580 	avgTIME=0.000667
array_size=262144 	STRIDE=8 	avgMISSES=0.001331 	avgTIME=0.000668
array_size=262144 	STRIDE=16 	avgMISSES=0.013492 	avgTIME=0.000710
array_size=262144 	STRIDE=32 	avgMISSES=0.132944 	avgTIME=0.000957
array_size=262144 	STRIDE=64 	avgMISSES=0.236412 	avgTIME=0.001911
array_size=262144 	STRIDE=128 	avgMISSES=0.242000 	avgTIME=0.001900
array_size=262144 	STRIDE=256 	avgMISSES=0.274317 	avgTIME=0.001890
array_size=262144 	STRIDE=512 	avgMISSES=0.297654 	avgTIME=0.001889
array_size=262144 	STRIDE=1024 	avgMISSES=0.330694 	avgTIME=0.003158
array_size=262144 	STRIDE=2048 	avgMISSES=0.412421 	avgTIME=0.004302
array_size=262144 	STRIDE=4096 	avgMISSES=0.509315 	avgTIME=0.005983
array_size=262144 	STRIDE=8192 	avgMISSES=0.000006 	avgTIME=0.005044
array_size=262144 	STRIDE=16384 	avgMISSES=0.000001 	avgTIME=0.004153
array_size=262144 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.001024
array_size=262144 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.000831
array_size=262144 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.000855
array_size=524288 	STRIDE=1 	avgMISSES=0.000342 	avgTIME=0.000668
array_size=524288 	STRIDE=2 	avgMISSES=0.000593 	avgTIME=0.000668
array_size=524288 	STRIDE=4 	avgMISSES=0.001091 	avgTIME=0.000667
array_size=524288 	STRIDE=8 	avgMISSES=0.002161 	avgTIME=0.000670
array_size=524288 	STRIDE=16 	avgMISSES=0.022512 	avgTIME=0.000725
array_size=524288 	STRIDE=32 	avgMISSES=0.493287 	avgTIME=0.001130
array_size=524288 	STRIDE=64 	avgMISSES=0.994642 	avgTIME=0.002233
array_size=524288 	STRIDE=128 	avgMISSES=0.998312 	avgTIME=0.002361
array_size=524288 	STRIDE=256 	avgMISSES=0.998630 	avgTIME=0.002441
array_size=524288 	STRIDE=512 	avgMISSES=0.998894 	avgTIME=0.002157
array_size=524288 	STRIDE=1024 	avgMISSES=1.025840 	avgTIME=0.003364
array_size=524288 	STRIDE=2048 	avgMISSES=1.055339 	avgTIME=0.004416
array_size=524288 	STRIDE=4096 	avgMISSES=1.124908 	avgTIME=0.007018
array_size=524288 	STRIDE=8192 	avgMISSES=0.481741 	avgTIME=0.006223
array_size=524288 	STRIDE=16384 	avgMISSES=0.000000 	avgTIME=0.005804
array_size=524288 	STRIDE=32768 	avgMISSES=0.000000 	avgTIME=0.004417
array_size=524288 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.001636
array_size=524288 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.000832
array_size=524288 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.000885
array_size=1048576 	STRIDE=1 	avgMISSES=0.000333 	avgTIME=0.000669
array_size=1048576 	STRIDE=2 	avgMISSES=0.000583 	avgTIME=0.000667
array_size=1048576 	STRIDE=4 	avgMISSES=0.001075 	avgTIME=0.000668
array_size=1048576 	STRIDE=8 	avgMISSES=0.002095 	avgTIME=0.000668
array_size=1048576 	STRIDE=16 	avgMISSES=0.022299 	avgTIME=0.000724
array_size=1048576 	STRIDE=32 	avgMISSES=0.493689 	avgTIME=0.001123
array_size=1048576 	STRIDE=64 	avgMISSES=0.994934 	avgTIME=0.002234
array_size=1048576 	STRIDE=128 	avgMISSES=0.999814 	avgTIME=0.002396
array_size=1048576 	STRIDE=256 	avgMISSES=1.000039 	avgTIME=0.002508
array_size=1048576 	STRIDE=512 	avgMISSES=1.000383 	avgTIME=0.002162
array_size=1048576 	STRIDE=1024 	avgMISSES=1.026419 	avgTIME=0.003367
array_size=1048576 	STRIDE=2048 	avgMISSES=1.066259 	avgTIME=0.004427
array_size=1048576 	STRIDE=4096 	avgMISSES=1.131469 	avgTIME=0.007035
array_size=1048576 	STRIDE=8192 	avgMISSES=1.076295 	avgTIME=0.006998
array_size=1048576 	STRIDE=16384 	avgMISSES=0.327211 	avgTIME=0.006453
array_size=1048576 	STRIDE=32768 	avgMISSES=0.000001 	avgTIME=0.005792
array_size=1048576 	STRIDE=65536 	avgMISSES=0.000000 	avgTIME=0.004420
array_size=1048576 	STRIDE=131072 	avgMISSES=0.000000 	avgTIME=0.001631
array_size=1048576 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.000831
array_size=1048576 	STRIDE=524288 	avgMISSES=0.000000 	avgTIME=0.000877
