1  0.000053  0.000009  0.000012  0.000009  0.000017  0.000210  0.000342  0.000333 
2  0.000013  0.000001  0.000000  0.000002  0.000015  0.000324  0.000593  0.000583 
4  -0.000005  -0.000002  0.000005  0.000006  0.000012  0.000580  0.001091  0.001075 
8  -0.000002  0.000001  0.000000  0.000001  0.000009  0.001331  0.002161  0.002095 
16  0.000000  0.000000  0.000000  0.000002  0.000029  0.013492  0.022512  0.022299 
32  0.000000  0.000000  0.000000  0.000003  0.000030  0.132944  0.493287  0.493689 
64  0.000000  0.000000  0.000000  0.000004  0.000084  0.236412  0.994642  0.994934 
128  0.000001  0.000000  0.000000  0.000006  0.000044  0.242000  0.998312  0.999814 
256  0.000000  0.000000  0.000000  0.000002  0.000018  0.274317  0.998630  1.000039 
512  0.000001  0.000000  0.000000  0.000000  0.000004  0.297654  0.998894  1.000383 
1024  -0.000001  0.000000  0.000000  -0.000000  0.000004  0.330694  1.025840  1.026419 
2048  0.000000  -0.000000  0.000000  -0.000000  0.000001  0.412421  1.055339  1.066259 
4096  0.000000  0.000000  0.000000  0.000001  0.000001  0.509315  1.124908  1.131469 
8192  0.0 -0.000000  0.000000  0.000000  0.000001  0.000006  0.481741  1.076295 
16384  0.0 0.0 0.000000  0.000000  -0.000000  0.000001  0.000000  0.327211 
32768  0.0 0.0 0.0 0.000000  -0.000000  0.000000  0.000000  0.000001 
65536  0.0 0.0 0.0 0.0 0.000000  0.000000  0.000000  0.000000 
131072  0.0 0.0 0.0 0.0 0.0 0.000000  0.000000  0.000000 
262144  0.0 0.0 0.0 0.0 0.0 0.0 0.000000  0.000000 
524288  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000000 
